Municipio,Cve_Municipio,Total_Crimes
Abalá,31001,5
Abasolo,5001,15
Abasolo,11001,1112
Abasolo,19001,58
Abasolo,28001,114
Abejones,20001,1
Acacoyagua,7001,35
Acajete,21001,627
Acajete,30001,100
Acala,7002,39
Acambay de Ruíz Castañeda,15001,802
Acanceh,31002,12
Acapetahua,7003,59
Acaponeta,18001,547
Acapulco de Juárez,12001,10352
Acateno,21002,71
Acatepec,12076,29
Acatic,14001,115
Acatlán,13001,141
Acatlán,21003,295
Acatlán,30002,14
Acatlán de Juárez,14002,325
Acatlán de Pérez Figueroa,20002,212
Acatzingo,21004,602
Acaxochitlán,13002,286
Acayucan,30003,921
Acolman,15002,2252
Aconchi,26001,13
Acteopan,21005,5
Actopan,13003,1361
Actopan,30004,235
Acuamanala de Miguel Hidalgo,29022,5
Acuitzio,16001,111
Acula,30005,39
Aculco,15003,541
Acultzingo,30006,144
Acuña,5002,4435
Acámbaro,11002,2293
Agua Blanca de Iturbide,13004,63
Agua Dulce,30204,372
Agua Prieta,26002,682
Agualeguas,19002,16
Aguascalientes,1001,31668
Aguililla,16002,21
Ahome,25001,6213
Ahuacatlán,18002,109
Ahuacatlán,21006,53
Ahuacuotzingo,12002,23
Ahualulco,24001,181
Ahualulco de Mercado,14003,285
Ahuatlán,21007,7
Ahuazotepec,21008,118
Ahuehuetitla,21009,23
Ahumada,8001,175
Ajacuba,13005,94
Ajalpan,21010,212
Ajuchitlán del Progreso,12003,14
Akil,31003,16
Alamos,26003,149
Alaquines,24002,36
Albino Zertuche,21011,3
Alcozauca de Guerrero,12004,53
Aldama,7113,3
Aldama,8002,369
Aldama,28002,232
Alfajayucan,13006,89
Aljojuca,21012,61
Allende,5003,632
Allende,8003,97
Allende,19004,575
Almoloya,13007,188
Almoloya de Alquisiras,15004,83
Almoloya de Juárez,15005,3048
Almoloya del Río,15006,254
Alpatláhuac,30008,41
Alpoyeca,12005,28
Altamira,28003,3003
Altamirano,7004,21
Altar,26004,81
Altepexi,21013,113
Alto Lucero de Gutiérrez Barrios,30009,107
Altotonga,30010,467
Alvarado,30011,489
Amacueca,14004,27
Amacuzac,17001,99
Amanalco,15007,280
Amatenango de la Frontera,7006,5
Amatenango del Valle,7007,6
Amatepec,15008,132
Amatitlán,30012,52
Amatitán,14005,120
Amatlán de Cañas,18003,77
Amatlán de los Reyes,30014,544
Amatán,7005,28
Amaxac de Guerrero,29001,20
Amealco de Bonfil,22001,1070
Ameca,14006,825
Amecameca,15009,1755
Amixtlán,21014,18
Amozoc,21015,2543
Angamacutiro,16004,91
Angangueo,16005,48
Angel Albino Corzo,7008,25
Angel R. Cabada,30015,248
Angostura,25002,404
Antiguo Morelos,28004,63
Anáhuac,19005,215
Apan,13008,1074
Apaseo el Alto,11004,1174
Apaseo el Grande,11005,2849
Apatzingán,16006,1659
Apaxco,15010,646
Apaxtla,12006,12
Apazapan,30017,26
Apetatitlán de Antonio Carvajal,29002,75
Apizaco,29005,292
Apodaca,19006,7899
Aporo,16007,26
Apozol,32001,25
Apulco,32002,20
Aquila,16008,121
Aquila,30018,9
Aquiles Serdán,8004,106
Aquismón,24003,385
Aquixtla,21016,48
Aramberri,19007,104
Arandas,14008,695
Arcelia,12007,40
Ario,16009,212
Arivechi,26005,26
Arizpe,26006,7
Armadillo de los Infante,24004,45
Armería,6001,549
Arriaga,7009,148
Arroyo Seco,22003,156
Arteaga,5004,672
Arteaga,16010,120
Ascensión,8005,348
Asientos,1002,763
Astacinga,30019,28
Asunción Cacalotepec,20003,13
Asunción Cuyotepeji,20004,6
Asunción Ixtaltepec,20005,94
Asunción Nochixtlán,20006,371
Asunción Ocotlán,20007,23
Asunción Tlacolulita,20008,1
Atarjea,11006,30
Atemajac de Brizuela,14010,26
Atempan,21017,214
Atenango del Río,12008,37
Atenco,15011,1240
Atengo,14011,21
Atenguillo,14012,52
Atexcal,21018,12
Atil,26007,8
Atitalaquia,13010,317
Atizapán,15012,238
Atizapán de Zaragoza,15013,10074
Atlacomulco,15014,2247
Atlahuilco,30020,39
Atlamajalcingo del Monte,12009,9
Atlangatepec,29003,9
Atlapexco,13011,128
Atlatlahucan,17002,404
Atlautla,15015,512
Atlequizayan,21080,4
Atlixco,21019,2404
Atlixtac,12010,37
Atltzayanca,29004,10
Atolinga,32003,18
Atotonilco de Tula,13013,698
Atotonilco el Alto,14013,428
Atotonilco el Grande,13012,457
Atoyac,14014,28
Atoyac,30021,162
Atoyac de Álvarez,12011,328
Atoyatempan,21020,40
Atzacan,30022,131
Atzala,21021,12
Atzalan,30023,231
Atzitzihuacán,21022,71
Atzitzintla,21023,48
Autlán de Navarro,14015,878
Axapusco,15016,727
Axochiapan,17003,325
Axtla de Terrazas,24053,368
Axutla,21024,7
Ayahualulco,30025,38
Ayala,17004,847
Ayapango,15017,167
Ayoquezco de Aldama,20398,22
Ayotlán,14016,154
Ayotoxco de Guerrero,21025,40
Ayotzintepec,20009,39
Ayutla,14017,56
Ayutla de los Libres,12012,243
Azcapotzalco,9002,9359
Azoyú,12013,77
Baca,31004,45
Bacadéhuachi,26008,5
Bacalar,23010,937
Bacanora,26009,11
Bacerac,26010,3
Bachíniva,8006,82
Bacoachi,26011,7
Badiraguato,25003,77
Bahía de Banderas,18020,1635
Balancán,27001,608
Balleza,8007,90
Banderilla,30026,304
Banámichi,26013,13
