date,series,value
1997,Spirits,"2,751"
1998,Spirits,"2,741"
1999,Spirits,"2,911"
2000,Spirits,"2,925"
2001,Spirits,"2,925"
2002,Spirits,"2,922"
2003,Spirits,"3,157"
2004,Spirits,"3,079"
2005,Spirits,"3,230"
2006,Spirits,"3,169"
2007,Spirits,"3,346"
2008,Spirits,"3,505"
2009,Spirits,"3,526"
2010,Spirits,"3,739"
2011,Spirits,"4,405"
2012,Spirits,"4,728"
2013,Spirits,"5,246"
2014,Spirits,"5,015"
2015,Spirits,"5,237"
2016,Spirits,"5,263"
2017,Spirits,"5,694"
2018,Spirits,"6,225"
2019,Spirits,"6,230"
2020,Spirits,"7,683"
2021,Spirits,"7,646"
2022,Spirits,"7,070"
2023,Spirits,"7,003"
1997,"Wine, Cider, and Perry","3,986"
1998,"Wine, Cider, and Perry","4,207"
1999,"Wine, Cider, and Perry","4,541"
2000,"Wine, Cider, and Perry","4,832"
2001,"Wine, Cider, and Perry","5,037"
2002,"Wine, Cider, and Perry","5,366"
2003,"Wine, Cider, and Perry","5,684"
2004,"Wine, Cider, and Perry","5,877"
2005,"Wine, Cider, and Perry","6,013"
2006,"Wine, Cider, and Perry","5,947"
2007,"Wine, Cider, and Perry","6,416"
2008,"Wine, Cider, and Perry","6,541"
2009,"Wine, Cider, and Perry","6,720"
2010,"Wine, Cider, and Perry","7,047"
2011,"Wine, Cider, and Perry","7,441"
2012,"Wine, Cider, and Perry","7,865"
2013,"Wine, Cider, and Perry","8,573"
2014,"Wine, Cider, and Perry","8,231"
2015,"Wine, Cider, and Perry","8,380"
2016,"Wine, Cider, and Perry","8,442"
2017,"Wine, Cider, and Perry","9,069"
2018,"Wine, Cider, and Perry","9,422"
2019,"Wine, Cider, and Perry","9,445"
2020,"Wine, Cider, and Perry","11,721"
2021,"Wine, Cider, and Perry","11,593"
2022,"Wine, Cider, and Perry","11,129"
2023,"Wine, Cider, and Perry","11,808"
1997,Beer,"2,978"
1998,Beer,"3,263"
1999,Beer,"3,103"
2000,Beer,"3,167"
2001,Beer,"3,149"
2002,Beer,"3,264"
2003,Beer,"3,668"
2004,Beer,"3,452"
2005,Beer,"3,310"
2006,Beer,"3,597"
2007,Beer,"3,536"
2008,Beer,"3,501"
2009,Beer,"4,061"
2010,Beer,"3,733"
2011,Beer,"4,021"
2012,Beer,"4,093"
2013,Beer,"4,718"
2014,Beer,"4,598"
2015,Beer,"4,615"
2016,Beer,"4,564"
2017,Beer,"5,153"
2018,Beer,"5,739"
2019,Beer,"5,708"
2020,Beer,"7,393"
2021,Beer,"7,466"
2022,Beer,"6,181"
2023,Beer,"6,338"
1997,Tobacco,"12,471"
1998,Tobacco,"13,261"
1999,Tobacco,"14,078"
2000,Tobacco,"14,139"
2001,Tobacco,"14,201"
2002,Tobacco,"14,215"
2003,Tobacco,"15,342"
2004,Tobacco,"15,458"
2005,Tobacco,"15,652"
2006,Tobacco,"15,509"
2007,Tobacco,"15,448"
2008,Tobacco,"16,332"
2009,Tobacco,"16,905"
2010,Tobacco,"17,633"
2011,Tobacco,"18,599"
2012,Tobacco,"18,967"
2013,Tobacco,"18,902"
2014,Tobacco,"19,054"
2015,Tobacco,"18,151"
2016,Tobacco,"18,015"
2017,Tobacco,"18,091"
2018,Tobacco,"18,546"
2019,Tobacco,"18,106"
2020,Tobacco,"19,683"
2021,Tobacco,"20,173"
2022,Tobacco,"20,207"
2023,Tobacco,"21,044"
1997,Narcotics,"8,360"
1998,Narcotics,"7,827"
1999,Narcotics,"7,555"
2000,Narcotics,"7,578"
2001,Narcotics,"7,414"
2002,Narcotics,"6,767"
2003,Narcotics,"5,586"
2004,Narcotics,"4,804"
2005,Narcotics,"5,387"
2006,Narcotics,"6,881"
2007,Narcotics,"5,171"
2008,Narcotics,"5,428"
2009,Narcotics,"6,783"
2010,Narcotics,"5,165"
2011,Narcotics,"7,217"
2012,Narcotics,"5,764"
2013,Narcotics,"5,221"
2014,Narcotics,"4,453"
2015,Narcotics,"3,355"
2016,Narcotics,"3,038"
2017,Narcotics,"4,307"
2018,Narcotics,"4,077"
2019,Narcotics,"3,631"
2020,Narcotics,"2,831"
2021,Narcotics,"2,776"
2022,Narcotics,"2,848"
2023,Narcotics,"2,700"
