id,name,value
W06000001,Isle of Anglesey,97
W06000002,Gwynedd,48
W06000003,Conwy,102
W06000004,Denbighshire,117
W06000005,Flintshire,354
W06000006,Wrexham,274
W06000008,Ceredigion,41
W06000009,Pembrokeshire,78
W06000010,Carmarthenshire,80
W06000011,Swansea,665
W06000012,Neath Port Talbot,325
W06000013,Bridgend,588
W06000014,Vale of Glamorgan,410
W06000015,Cardiff,2724
W06000016,Rhondda Cynon Taf,573
W06000018,Caerphilly,638
W06000019,Blaenau Gwent,624
W06000020,Torfaen,749
W06000021,Monmouthshire,112
W06000022,Newport,882
W06000023,Powys,26
W06000024,Merthyr Tydfil,529
